product_id,user_id,rating
37323,USER_1099,10
32338,USER_848,7
25054,USER_329,9
32266,USER_354,9
4411,USER_405,10
33290,USER_1062,4
34527,USER_1210,8
25997,USER_1010,5
34341,USER_1148,2
26199,USER_1017,7
38390,USER_683,1
48380,USER_388,6
19669,USER_164,1
20860,USER_259,3
11360,USER_1483,3
46726,USER_1239,1
31213,USER_693,10
28177,USER_605,1
44378,USER_304,3
6624,USER_621,1
16412,USER_1172,10
28453,USER_1241,10
29763,USER_483,2
14906,USER_696,4
32273,USER_451,1
27364,USER_1025,3
28023,USER_226,8
15515,USER_700,4
16604,USER_885,7
1856,USER_509,10
34885,USER_41,3
58331,USER_967,4
43784,USER_680,9
36803,USER_577,6
2247,USER_1001,7
36715,USER_632,7
10763,USER_1436,8
34325,USER_877,7
48026,USER_68,5
55427,USER_42,4
18162,USER_123,4
25246,USER_1101,3
26624,USER_1119,9
34575,USER_417,8
38779,USER_1028,7
3459,USER_1353,1
52061,USER_780,8
7325,USER_1317,5
22685,USER_1462,2
10074,USER_893,8
5795,USER_1403,8
13768,USER_462,3
43375,USER_379,10
16952,USER_520,6
49076,USER_230,3
1919,USER_81,3
27746,USER_812,7
19106,USER_1092,8
49483,USER_1278,9
53943,USER_275,9
42986,USER_78,2
58870,USER_738,3
21120,USER_1134,2
27062,USER_803,6
55990,USER_1102,2
50991,USER_1376,10
43625,USER_179,1
46733,USER_522,3
54225,USER_1226,4
26781,USER_897,2
13485,USER_272,3
14806,USER_916,7
4838,USER_72,2
41861,USER_381,9
16613,USER_22,5
35338,USER_300,10
13731,USER_1463,4
11029,USER_878,9
58213,USER_1039,4
31988,USER_443,8
7640,USER_746,10
9432,USER_618,2
36018,USER_71,1
35177,USER_855,1
20290,USER_229,4
13747,USER_8,10
9976,USER_5,1
37970,USER_419,3
9868,USER_275,8
29567,USER_118,9
14521,USER_382,10
47194,USER_1245,4
47371,USER_167,9
43082,USER_1026,4
43561,USER_1298,4
49956,USER_1477,2
9196,USER_775,4
38774,USER_885,6
8249,USER_1270,9
50160,USER_990,2
43084,USER_405,9
56475,USER_322,7
39896,USER_389,8
39992,USER_170,8
10665,USER_900,3
43193,USER_954,6
51263,USER_1396,3
13907,USER_1109,9
23586,USER_369,7
14510,USER_1214,2
33456,USER_705,2
26143,USER_1065,3
57193,USER_896,8
30299,USER_899,3
46862,USER_941,3
40130,USER_1425,8
53538,USER_26,2
54995,USER_5,10
29608,USER_483,10
13044,USER_787,6
28593,USER_973,5
58529,USER_597,5
10226,USER_1371,4
6347,USER_997,3
16438,USER_167,2
44914,USER_555,3
21395,USER_1069,5
12864,USER_1289,6
11085,USER_829,9
43846,USER_872,7
25848,USER_661,8
18781,USER_668,9
13105,USER_1339,2
53303,USER_1168,5
57462,USER_1112,6
14003,USER_852,5
12447,USER_1490,2
47614,USER_897,4
58553,USER_712,8
22661,USER_1435,6
19282,USER_104,4
1919,USER_370,9
7420,USER_1327,2
10308,USER_94,6
51920,USER_747,1
4690,USER_1111,1
14294,USER_219,1
26875,USER_134,7
2134,USER_345,10
27967,USER_638,2
6982,USER_889,7
53345,USER_1393,6
2059,USER_467,3
13857,USER_1391,2
50503,USER_222,3
57719,USER_84,2
39985,USER_1176,6
7032,USER_832,8
34587,USER_748,8
12438,USER_561,7
33264,USER_266,10
50560,USER_356,2
36898,USER_1319,10
7146,USER_1093,1
37145,USER_966,3
44029,USER_560,3
11279,USER_1065,9
22295,USER_471,6
20047,USER_629,8
27455,USER_502,2
40625,USER_1037,7
52418,USER_599,8
8262,USER_992,6
36983,USER_68,10
46158,USER_608,3
28771,USER_1060,7
26022,USER_301,2
46618,USER_711,5
19967,USER_312,6
34390,USER_64,3
2695,USER_1137,2
7401,USER_1025,9
29682,USER_1112,4
48626,USER_1174,5
4975,USER_669,10
44408,USER_256,5
22045,USER_513,6
20167,USER_260,9
34930,USER_1438,7
48007,USER_618,6
9605,USER_1298,3
18388,USER_1094,10
50317,USER_248,2
41722,USER_1041,5
21409,USER_93,3
25295,USER_286,9
26092,USER_493,3
57738,USER_1074,3
35670,USER_1095,1
44637,USER_391,10
50822,USER_1424,7
4498,USER_418,1
39254,USER_1155,10
41765,USER_623,8
43584,USER_473,9
40672,USER_788,5
24152,USER_1365,8
17515,USER_1293,5
22562,USER_1009,6
44217,USER_959,5
50552,USER_620,5
39992,USER_784,1
46733,USER_841,1
39204,USER_610,10
27987,USER_34,7
9250,USER_1259,6
17019,USER_621,8
48511,USER_337,4
13523,USER_232,1
11485,USER_412,2
6143,USER_171,7
22178,USER_1141,8
38746,USER_376,4
35667,USER_1237,2
31634,USER_1457,10
54630,USER_607,7
13002,USER_1490,7
7415,USER_810,6
33915,USER_613,10
46934,USER_216,6
44785,USER_712,9
35075,USER_772,9
29975,USER_785,7
54988,USER_272,7
55806,USER_921,7
22559,USER_1095,3
14033,USER_881,3
4250,USER_241,7
19655,USER_1235,10
47689,USER_1341,5
9514,USER_512,1
45710,USER_1093,4
44796,USER_767,2
41958,USER_1423,8
26124,USER_690,9
44917,USER_1137,4
46830,USER_599,4
20395,USER_459,10
14993,USER_1435,4
50680,USER_931,10
5347,USER_1310,5
36721,USER_877,4
44747,USER_476,7
28588,USER_931,5
40782,USER_1384,4
59612,USER_201,6
41352,USER_900,3
31826,USER_568,4
18909,USER_1138,4
39526,USER_674,9
22459,USER_291,9
17977,USER_1386,3
52335,USER_998,10
28806,USER_285,9
43965,USER_1386,3
